Date,Sps,SapFlux_g_s_m2,SapFlow_cm3water_s,VPD_kPa,Avrg_VWC0_50,Hindex
1/30/2019,cole,4.255424389,0.374581198,2.208140816,0.101716752,0.051690039
1/31/2019,cepy,31.85542361,0.307991078,2.131331931,0.099040232,0.32405933
1/31/2019,cole,3.325597785,0.289919674,2.131331931,0.099040232,0.033342607
2/1/2019,cepy,33.2588291,0.322754539,1.867102914,0.096430902,0.287094378
2/1/2019,cole,2.82670645,0.250615059,1.867102914,0.096430902,0.032737145
2/2/2019,cepy,32.98746768,0.321749115,2.235684097,0.092882928,0.340634036
2/2/2019,cole,3.274662132,0.287179955,2.235684097,0.092882928,0.033131033
2/3/2019,cepy,24.30171229,0.237192619,1.852642947,0.092088081,0.231680088
2/3/2019,cole,2.719615747,0.241291846,1.852642947,0.092088081,0.018948931
2/4/2019,cepy,28.58294365,0.282043782,1.066374481,0.109071263,0.224132332
2/4/2019,cole,3.397126987,0.321892191,1.066374481,0.109071263,0.017091297
2/5/2019,cepy,24.97801702,0.252946719,1.184380321,0.096614862,0.183770559
2/5/2019,cole,6.219191787,0.632348837,1.184380321,0.096614862,0.058834572
2/6/2019,cepy,15.33577423,0.156274184,0.734849288,0.094253562,0.1727424
2/6/2019,cole,3.65838804,0.349247927,0.734849288,0.094253562,0.010846643
2/7/2019,cepy,22.12182548,0.227872275,1.610807912,0.098960837,0.249199483
2/7/2019,cole,12.70302388,1.247637884,1.610807912,0.098960837,0.26304737
2/8/2019,cepy,22.6490878,0.231890929,2.190069169,0.088671583,0.271573856
2/8/2019,cole,5.95713665,0.611428862,2.190069169,0.088671583,0.10932223
2/9/2019,cepy,23.98263625,0.246593786,2.273541054,0.086210053,0.273473607
2/9/2019,cole,3.121483357,0.296095683,2.273541054,0.086210053,0.048330836
2/10/2019,cepy,24.98568331,0.256530884,2.27930367,0.084344576,0.305645196
2/10/2019,cole,2.600141302,0.23024627,2.27930367,0.084344576,0.033615618
2/11/2019,cepy,23.03296797,0.224546791,2.162481724,0.083569304,0.243055388
2/11/2019,cole,2.492314408,0.211041326,2.162481724,0.083569304,0.031554601
2/12/2019,cepy,23.23708318,0.225911771,2.286037225,0.082191699,0.277633167
2/12/2019,cole,2.18872627,0.177811168,2.286037225,0.082191699,0.030903139
2/13/2019,cepy,19.53403705,0.188020439,1.859164307,0.083577675,0.199602417
2/13/2019,cole,1.876391177,0.128209349,1.859164307,0.083577675,0.013203064
2/14/2019,cepy,16.94045499,0.163886017,1.348141872,0.089213665,0.206099115
2/14/2019,cole,2.456990676,0.12630037,1.348141872,0.089213665,0.045140816
2/15/2019,cepy,13.98295427,0.133438912,1.086754106,0.078472045,0.077952297
2/15/2019,cole,2.272805479,0.116832423,1.086754106,0.078472045,0.015170022
2/16/2019,cepy,17.00797186,0.15693986,0.93311314,0.085809324,0.135162158
2/16/2019,cole,2.71979554,0.170384325,0.93311314,0.085809324,0.023543269
